Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer 2~String~Manufacturer 2~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Currency 2~String~Supplier Currency 2~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Order Qty 2~Integer~Supplier Order Qty 2~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 2~Integer~Supplier Stock 2~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal 2~Float~Supplier Subtotal 2~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Unit Price 2~Float~Supplier Unit Price 2~100|ReportField=Currency~CAD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~Eload Gen 3 Control Module.PrjPcb|ReportField=ProjectFullPath~E:\OneDrive\Shawn\electronic load\Circuit Studio\Gen 3\Eload Gen 3 Control Module\Eload Gen 3 Control Module.PrjPcb|ReportField=Title~BOM_PartType For Project [Eload Gen 3 Control Module.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~214|ReportField=ReportTime~10:54:58 PM|ReportField=ReportDate~6/2/2021|ReportField=ReportDateTime~6/2/2021 10:54:58 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.00|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-3|MediaType=1|DitherType=10|PrintScaleMode=1|PaperKind=Letter 8.5"x11" 22x28cm|PaperIndex=1|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Eload Gen 3 Control Module.PrjPcb|ReportField=DataSourceFullPath~E:\OneDrive\Shawn\electronic load\Circuit Studio\Gen 3\Eload Gen 3 Control Module\Eload Gen 3 Control Module.PrjPcb
CR0805-JW-330ELF|RES SMD 33 OHM 5% 1/8W 0805|R27, R27, R30, R30|res, 0805, HD|Res,0805,33O,±5%,200ppm,CR0805-JW-330ELF|Bourns||CR0805-JW-330ELF||4|Digi-Key||CAD||400||118-CR0805-JW-330ELFCT-ND||10040||4.47628||0.01119|
CR0805-JW-471ELF|RES SMD 470 OHM 5% 1/8W 0805|R31|res, 0805, HD|res,0805,470O,5%,200ppm,CR0805-JW-471ELF|Bourns||CR0805-JW-471ELF||2|Digi-Key||CAD||200||118-CR0805-JW-471ELFCT-ND||24309||2.23814||0.01119|
CRCW08053K32FKEA|RES SMD 3.32K OHM 1% 1/8W 0805|R43, R43, R52, R52|res, 0805, HD|Res,0805,3.32K,±1%,100.0 ppm/°C,150.0 V,CRCW08053K32FKEA|Vishay||CRCW08053K32FKEA||4|Digi-Key||CAD||400||541-3.32KCCT-ND||30344||13.53056||0.03383|
TE Connectivity RP73PF2A100KBTDF|Surface Mount Thin Film Resistor, RP73 Series, 100 kohm, 250 mW, - 0.1%, 150 V|R46, R46, R48, R48|res, 0805, HD|Res,0805,100 kO,0.1%,25ppm,RP73PF2A100KBTDF|TE Connectivity||RP73PF2A100KBTDF||4|Digi-Key||CAD||400||A110735CT-ND||5129||130.62586||0.32656|
CRCW08052K20FKEA|RES SMD 2.2K OHM 1% 1/8W 0805|R50, R50, R54, R54|res, 0805, HD|Res,0805,2.2KO,±1%,100.0 ppm/°C,150.0 V,CRCW08052K20FKEA|Vishay||CRCW08052K20FKEA||4|Digi-Key||CAD||400||541-2.20KCCT-ND||0||13.53056||0.03383|
CRCW0805681RFKEA|RES SMD 681 OHM 1% 1/8W 0805|R53|res, 0805, HD|Res,0805,681.0 O,±1%,100.0 ppm/°C,150.0 V,CRCW0805681RFKEA|Vishay||CRCW0805681RFKEA||2|Digi-Key||CAD||200||541-681CCT-ND||170||6.76528||0.03383|
AOZ1280CI|IC REG BUCK ADJ 1.2A SOT23-6|U1|SOT23-6|Controller,Buck Reg,3-26V,1.2A,SOT23,AOZ1280CI|Alpha & Omega Semiconductor|Alpha & Omega Semiconductor|AOZ1280CI|AOZ1280CI|2|LCSC|Digi-Key|Loading...|CAD||200|C41240|785-1277-1-ND|0|0||204.61158||1.02306
Shunt Regulator,2.5Vdc TL431IDBZT|Adjustable Precision Shunt Regulator, 34 ppm / degC, 100 mA, -40 to 85 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)|U2|SOT23-3|Shunt Regulator,2.5Vdc TL431IDBZT|Texas Instruments||TL431IDBZT||2|Digi-Key||CAD||200||296-26719-1-ND||67||147.3356||0.73668|
TLV70333DBVR|IC REG LINEAR 3.3V 300MA SOT23-5|U3|SOT23-5|Reg, LDO, 3.3V fixed, 5.5-3.3Vdc In, 0.3mA,TLV703|Texas Instruments||TLV70333DBVR||2|Digi-Key||CAD||200||296-47851-1-ND||0||54.35114||0.27176|
TSV911ILT|General Purpose Amplifier 1 Circuit Rail-to-Rail SOT-23-5|U4|SOT23-5|Opamp,SOT5, 8Mhz, Rail to Rail, TSV911ILT|STMicroelectronics||TSV911ILT||2|Digi-Key||CAD||200||497-6000-1-ND||0||132.3299||0.66165|
INA180A1IDBVR|Current Sense Amplifier 1 Circuit Rail-to-Rail SOT-23-5|U5|SOT23-5|OPAMP,CurrentMon,20V/V,350kHz,SOT-23-5,I INA180A1IDBVR|Texas Instruments|Texas Instruments|INA180A1IDBVR|INA180A1IDBVR|2|Digi-Key|LCSC|CAD|Loading...|200||296-47652-1-ND|C122228|0|0|67.93257||0.33966|
CAT24C64WI-G|IC EEPROM 64K I2C 1MHZ 8SOIC|U6|SOIC-8|IC,EEPROM,64Kb,1Mhz,SOIC8, CAT24C64WI-G|ON Semiconductor|CAT|CAT24C64WI-GT3|CAT24C64WI-GT3|2|Digi-Key|LCSC|CAD|CAD|200|200|CAT24C64WI-GT3CT-ND|C13645|0|11513|46.87373|85.27866|0.23437|0.42639
MKL26Z64VFT4|IC MCU 32BIT 64KB FLASH 48QFN|U8|48-VFQFN Exposed Pad|Micro,Teensy,48Mhz,32Bit,64KB,MKL26Z64VFT4|NXP Freescale||MKL26Z64VFT4||2|Digi-Key||CAD||200||MKL26Z64VFT4-ND||169||1127.46195||5.63731|
LM7321MF/NOPB|Single Rail-to-Rail Input/Output, ±15V, High Output Current and Unlimited Capacitive Load Operational Amplifier, 5-pin SOT-23, Pb-Free|U12|SOT23-5|OPAMP,20Mhz,MOSFET DRIVER,SOT23-5,LM7321MF|TI National Semiconductor|TI National Semiconductor|LM7321MF/NOPB|LM7321MF/NOPB|2|Digi-Key|LCSC|CAD|Loading...|200||LM7321MF/NOPBCT-ND|C128614|266|0|387.04525||1.93523|
NX3225SA-16.000000MHZ-B3|CRYSTAL 16.0000MHZ 7.2PF SMD|XTAL1|CRYSTAL,4-SMD, No Lead|resonator,crystal,SMD,stab15ppm,Tol,10ppm,7.2pf,80ohms,NX3225SA-16.000000MHZ-B3|NDK||NX3225SA-16.000000MHZ-B3||2|Digi-Key||CAD||200||644-1099-1-ND||1896||155.11821||0.77559|
